7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

0,0,0,3,3,0,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

0,0,3,3,0,0,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

0,3,3,0,0,0,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,0,0,0,0,
4,4,6,2,0,5,
13,13,6,2,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,0,0,0,
4,4,6,2,0,5,
13,13,0,2,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
13,13,0,0,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,0,0,0,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,0,0,5,
4,4,6,2,0,5,
0,13,13,2,0,5,
7,7,10,8,8,0,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,10,8,8,0,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,10,8,8,0,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,10,8,8,0,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,0,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,10,8,8,0,
1,9,10,11,11,11,
1,9,0,0,12,12,

0,3,3,2,0,5,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,10,8,8,0,
1,9,10,11,11,11,
1,9,0,0,12,12,

0,3,3,2,0,0,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,0,2,0,0,
4,4,6,2,0,5,
0,0,6,13,13,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,0,0,12,12,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,13,13,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,12,12,0,0,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,13,13,0,0,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,12,12,0,0,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,0,13,13,5,
7,7,10,8,8,5,
1,9,10,11,11,11,
1,9,12,12,0,0,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,10,13,13,5,
7,7,10,8,8,5,
1,9,0,11,11,11,
1,9,12,12,0,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,10,13,13,5,
7,7,10,8,8,0,
1,9,0,11,11,11,
1,9,12,12,0,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,10,13,13,5,
7,7,10,0,8,8,
1,9,0,11,11,11,
1,9,12,12,0,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,10,13,13,5,
7,7,10,0,8,8,
1,9,11,11,11,0,
1,9,12,12,0,0,

3,3,6,2,0,5,
4,4,6,2,0,5,
0,0,10,13,13,5,
7,7,10,8,8,0,
1,9,11,11,11,0,
1,9,12,12,0,0,

3,3,6,2,0,0,
4,4,6,2,0,5,
0,0,10,13,13,5,
7,7,10,8,8,5,
1,9,11,11,11,0,
1,9,12,12,0,0,

3,3,6,2,0,0,
4,4,6,2,0,0,
0,0,10,13,13,5,
7,7,10,8,8,5,
1,9,11,11,11,5,
1,9,12,12,0,0,

3,3,6,2,0,0,
4,4,6,2,0,0,
0,0,10,13,13,0,
7,7,10,8,8,5,
1,9,11,11,11,5,
1,9,12,12,0,5,

3,3,6,2,0,0,
4,4,6,2,0,0,
0,0,10,0,13,13,
7,7,10,8,8,5,
1,9,11,11,11,5,
1,9,12,12,0,5,

